Entity,Code,Year,Annual number of AI systems by researcher affiliation
Academia,,1950,0
Academia,,1952,1
Academia,,1954,1
Academia,,1955,2
Academia,,1956,1
Academia,,1957,0
Academia,,1959,1
Academia,,1960,2
Academia,,1961,1
Academia,,1962,1
Academia,,1968,2
Academia,,1970,1
Academia,,1974,0
Academia,,1975,0
Academia,,1977,1
Academia,,1979,1
Academia,,1980,0
Academia,,1981,1
Academia,,1982,1
Academia,,1983,1
Academia,,1984,1
Academia,,1986,4
Academia,,1987,3
Academia,,1988,0
Academia,,1989,4
Academia,,1990,2
Academia,,1991,1
Academia,,1992,2
Academia,,1993,0
Academia,,1994,1
Academia,,1995,1
Academia,,1996,2
Academia,,1997,3
Academia,,1998,0
Academia,,1999,1
Academia,,2000,2
Academia,,2001,2
Academia,,2002,2
Academia,,2003,5
Academia,,2004,1
Academia,,2005,5
Academia,,2006,10
Academia,,2007,5
Academia,,2008,4
Academia,,2009,5
Academia,,2010,11
Academia,,2011,6
Academia,,2012,8
Academia,,2013,12
Academia,,2014,16
Academia,,2015,3
Academia,,2016,14
Academia,,2017,12
Academia,,2018,7
Academia,,2019,7
Academia,,2020,6
Academia,,2021,5
Academia,,2022,7
Academia and industry collaboration,,1950,0
Academia and industry collaboration,,1952,0
Academia and industry collaboration,,1954,0
Academia and industry collaboration,,1955,0
Academia and industry collaboration,,1956,0
Academia and industry collaboration,,1957,0
Academia and industry collaboration,,1959,0
Academia and industry collaboration,,1960,0
Academia and industry collaboration,,1961,0
Academia and industry collaboration,,1962,0
Academia and industry collaboration,,1968,0
Academia and industry collaboration,,1970,0
Academia and industry collaboration,,1974,0
Academia and industry collaboration,,1975,0
Academia and industry collaboration,,1977,0
Academia and industry collaboration,,1979,0
Academia and industry collaboration,,1980,0
Academia and industry collaboration,,1981,0
Academia and industry collaboration,,1982,0
Academia and industry collaboration,,1983,0
Academia and industry collaboration,,1984,0
Academia and industry collaboration,,1986,0
Academia and industry collaboration,,1987,0
Academia and industry collaboration,,1988,0
Academia and industry collaboration,,1989,1
Academia and industry collaboration,,1990,0
Academia and industry collaboration,,1991,0
Academia and industry collaboration,,1992,0
Academia and industry collaboration,,1993,0
Academia and industry collaboration,,1994,0
Academia and industry collaboration,,1995,0
Academia and industry collaboration,,1996,0
Academia and industry collaboration,,1997,0
Academia and industry collaboration,,1998,2
Academia and industry collaboration,,1999,1
Academia and industry collaboration,,2000,0
Academia and industry collaboration,,2001,1
Academia and industry collaboration,,2002,1
Academia and industry collaboration,,2003,0
Academia and industry collaboration,,2004,0
Academia and industry collaboration,,2005,0
Academia and industry collaboration,,2006,1
Academia and industry collaboration,,2007,0
Academia and industry collaboration,,2008,2
Academia and industry collaboration,,2009,1
Academia and industry collaboration,,2010,1
Academia and industry collaboration,,2011,3
Academia and industry collaboration,,2012,1
Academia and industry collaboration,,2013,2
Academia and industry collaboration,,2014,7
Academia and industry collaboration,,2015,8
Academia and industry collaboration,,2016,10
Academia and industry collaboration,,2017,12
Academia and industry collaboration,,2018,5
Academia and industry collaboration,,2019,14
Academia and industry collaboration,,2020,5
Academia and industry collaboration,,2021,6
Academia and industry collaboration,,2022,9
Industry,,1950,1
Industry,,1952,0
Industry,,1954,0
Industry,,1955,0
Industry,,1956,0
Industry,,1957,1
Industry,,1959,2
Industry,,1960,0
Industry,,1961,0
Industry,,1962,0
Industry,,1968,0
Industry,,1970,0
Industry,,1974,1
Industry,,1975,1
Industry,,1977,0
Industry,,1979,0
Industry,,1980,1
Industry,,1981,0
Industry,,1982,0
Industry,,1983,0
Industry,,1984,0
Industry,,1986,0
Industry,,1987,0
Industry,,1988,1
Industry,,1989,1
Industry,,1990,0
Industry,,1991,0
Industry,,1992,1
Industry,,1993,1
Industry,,1994,0
Industry,,1995,2
Industry,,1996,0
Industry,,1997,1
Industry,,1998,0
Industry,,1999,1
Industry,,2000,0
Industry,,2001,0
Industry,,2002,1
Industry,,2003,1
Industry,,2004,0
Industry,,2005,0
Industry,,2006,0
Industry,,2007,1
Industry,,2008,2
Industry,,2009,6
Industry,,2010,2
Industry,,2011,0
Industry,,2012,1
Industry,,2013,4
Industry,,2014,2
Industry,,2015,12
Industry,,2016,18
Industry,,2017,18
Industry,,2018,15
Industry,,2019,31
Industry,,2020,27
Industry,,2021,41
Industry,,2022,33
Not specified,,1950,0
Not specified,,1952,0
Not specified,,1954,0
Not specified,,1955,0
Not specified,,1956,0
Not specified,,1957,0
Not specified,,1959,0
Not specified,,1960,0
Not specified,,1961,0
Not specified,,1962,0
Not specified,,1968,0
Not specified,,1970,0
Not specified,,1974,0
Not specified,,1975,0
Not specified,,1977,0
Not specified,,1979,0
Not specified,,1980,0
Not specified,,1981,0
Not specified,,1982,0
Not specified,,1983,0
Not specified,,1984,0
Not specified,,1986,0
Not specified,,1987,0
Not specified,,1988,0
Not specified,,1989,0
Not specified,,1990,0
Not specified,,1991,0
Not specified,,1992,0
Not specified,,1993,0
Not specified,,1994,0
Not specified,,1995,0
Not specified,,1996,0
Not specified,,1997,0
Not specified,,1998,0
Not specified,,1999,0
Not specified,,2000,0
Not specified,,2001,0
Not specified,,2002,0
Not specified,,2003,0
Not specified,,2004,0
Not specified,,2005,0
Not specified,,2006,0
Not specified,,2007,0
Not specified,,2008,0
Not specified,,2009,0
Not specified,,2010,0
Not specified,,2011,0
Not specified,,2012,2
Not specified,,2013,2
Not specified,,2014,2
Not specified,,2015,4
Not specified,,2016,6
Not specified,,2017,8
Not specified,,2018,16
Not specified,,2019,14
Not specified,,2020,9
Not specified,,2021,6
Not specified,,2022,5
Other,,1950,0
Other,,1952,0
Other,,1954,0
Other,,1955,0
Other,,1956,0
Other,,1957,0
Other,,1959,0
Other,,1960,0
Other,,1961,0
Other,,1962,0
Other,,1968,0
Other,,1970,0
Other,,1974,0
Other,,1975,0
Other,,1977,0
Other,,1979,0
Other,,1980,0
Other,,1981,0
Other,,1982,0
Other,,1983,0
Other,,1984,0
Other,,1986,0
Other,,1987,0
Other,,1988,0
Other,,1989,0
Other,,1990,0
Other,,1991,0
Other,,1992,0
Other,,1993,0
Other,,1994,0
Other,,1995,0
Other,,1996,0
Other,,1997,0
Other,,1998,0
Other,,1999,0
Other,,2000,0
Other,,2001,0
Other,,2002,0
Other,,2003,0
Other,,2004,0
Other,,2005,0
Other,,2006,0
Other,,2007,0
Other,,2008,0
Other,,2009,0
Other,,2010,0
Other,,2011,0
Other,,2012,0
Other,,2013,0
Other,,2014,0
Other,,2015,0
Other,,2016,0
Other,,2017,0
Other,,2018,0
Other,,2019,0
Other,,2020,0
Other,,2021,0
Other,,2022,3